Input Size,QuantFastKAN Compiled w/ Options - self_cuda_time_total (ms),QuantFastKAN Compiled w/ Options - self_cuda_time_total (ms)__MIN,QuantFastKAN Compiled w/ Options - self_cuda_time_total (ms)__MAX,QuantFastKAN Compiled - self_cuda_time_total (ms),QuantFastKAN Compiled - self_cuda_time_total (ms)__MIN,QuantFastKAN Compiled - self_cuda_time_total (ms)__MAX,QuantFastKAN - self_cuda_time_total (ms),QuantFastKAN - self_cuda_time_total (ms)__MIN,QuantFastKAN - self_cuda_time_total (ms)__MAX,FastMPKAN Compiled w/ Options - self_cuda_time_total (ms),FastMPKAN Compiled w/ Options - self_cuda_time_total (ms)__MIN,FastMPKAN Compiled w/ Options - self_cuda_time_total (ms)__MAX,FastMPKAN Compiled - self_cuda_time_total (ms),FastMPKAN Compiled - self_cuda_time_total (ms)__MIN,FastMPKAN Compiled - self_cuda_time_total (ms)__MAX,FastMPKAN - self_cuda_time_total (ms),FastMPKAN - self_cuda_time_total (ms)__MIN,FastMPKAN - self_cuda_time_total (ms)__MAX,FastKAN Compiled w/ Options - self_cuda_time_total (ms),FastKAN Compiled w/ Options - self_cuda_time_total (ms)__MIN,FastKAN Compiled w/ Options - self_cuda_time_total (ms)__MAX,FastKAN Compiled - self_cuda_time_total (ms),FastKAN Compiled - self_cuda_time_total (ms)__MIN,FastKAN Compiled - self_cuda_time_total (ms)__MAX,FastKAN - self_cuda_time_total (ms),FastKAN - self_cuda_time_total (ms)__MIN,FastKAN - self_cuda_time_total (ms)__MAX,Mixed Precision KAN Compiled w/ Options - self_cuda_time_total (ms),Mixed Precision KAN Compiled w/ Options - self_cuda_time_total (ms)__MIN,Mixed Precision KAN Compiled w/ Options - self_cuda_time_total (ms)__MAX,Mixed Precision KAN Compiled - self_cuda_time_total (ms),Mixed Precision KAN Compiled - self_cuda_time_total (ms)__MIN,Mixed Precision KAN Compiled - self_cuda_time_total (ms)__MAX,Mixed Precision KAN - self_cuda_time_total (ms),Mixed Precision KAN - self_cuda_time_total (ms)__MIN,Mixed Precision KAN - self_cuda_time_total (ms)__MAX,Vanilla KAN Compiled w/ Options - self_cuda_time_total (ms),Vanilla KAN Compiled w/ Options - self_cuda_time_total (ms)__MIN,Vanilla KAN Compiled w/ Options - self_cuda_time_total (ms)__MAX,Vanilla KAN Compiled - self_cuda_time_total (ms),Vanilla KAN Compiled - self_cuda_time_total (ms)__MIN,Vanilla KAN Compiled - self_cuda_time_total (ms)__MAX,Vanilla KAN - self_cuda_time_total (ms),Vanilla KAN - self_cuda_time_total (ms)__MIN,Vanilla KAN - self_cuda_time_total (ms)__MAX
10000,16.35417100000004,16.35417100000004,16.35417100000004,16.35840299999997,16.35840299999997,16.35840299999997,16.36086399999998,16.36086399999998,16.36086399999998,13.589538000000005,13.589538000000005,13.589538000000005,13.58026699999992,13.58026699999992,13.58026699999992,13.587208999999989,13.587208999999989,13.587208999999989,12.150261000000002,12.150261000000002,12.150261000000002,12.132006999999932,12.132006999999932,12.132006999999932,12.144444999999987,12.144444999999987,12.144444999999987,67.97868900000016,67.97868900000016,67.97868900000016,68.750805,68.750805,68.750805,74.77881400000028,74.77881400000028,74.77881400000028,77.47900900000018,77.47900900000018,77.47900900000018,80.16307199999981,80.16307199999981,80.16307199999981,87.25187599999988,87.25187599999988,87.25187599999988
100,3.693258,3.693258,3.693258,3.693345,3.693345,3.693345,3.69306,3.69306,3.69306,3.11413,3.11413,3.11413,3.105713,3.105713,3.105713,3.106587,3.106587,3.106587,2.566661,2.566661,2.566661,1.087459,1.087459,1.087459,2.564198,2.564198,2.564198,8.353264,8.353264,8.353264,8.335613,8.335613,8.335613,15.765143,15.765143,15.765143,8.00447,8.00447,8.00447,3.449446,3.449446,3.449446,15.428152,15.428152,15.428152
1000,4.690827000000063,4.690827000000063,4.690827000000063,4.6920649999999515,4.6920649999999515,4.6920649999999515,4.692641,4.692641,4.692641,4.078901999999983,4.078901999999983,4.078901999999983,4.086141000000046,4.086141000000046,4.086141000000046,4.0913199999999765,4.0913199999999765,4.0913199999999765,3.165045,3.165045,3.165045,3.162509000000002,3.162509000000002,3.162509000000002,3.164979000000002,3.164979000000002,3.164979000000002,13.181885999999695,13.181885999999695,13.181885999999695,10.625219000000097,10.625219000000097,10.625219000000097,17.80460899999994,17.80460899999994,17.80460899999994,11.402687000000173,11.402687000000173,11.402687000000173,10.674248999999726,10.674248999999726,10.674248999999726,17.308914000000424,17.308914000000424,17.308914000000424
100000,139.243523,139.243523,139.243523,138.717751,138.717751,138.717751,128.940342,128.940342,128.940342,109.446435,109.446435,109.446435,103.588776,103.588776,103.588776,109.449873,109.449873,109.449873,99.553426,99.553426,99.553426,108.382479,108.382479,108.382479,109.987512,109.987512,109.987512,663.878978,663.878978,663.878978,663.666096,663.666096,663.666096,693.554117,693.554117,693.554117,811.281802,811.281802,811.281802,816.183463,816.183463,816.183463,855.990306,855.990306,855.990306
50000,68.247719,68.247719,68.247719,70.350832,70.350832,70.350832,70.095452,70.095452,70.095452,55.68337,55.68337,55.68337,55.66697,55.66697,55.66697,55.697152,55.697152,55.697152,53.372641,53.372641,53.372641,55.421628,55.421628,55.421628,54.646143,54.646143,54.646143,331.302331,331.302331,331.302331,331.653106,331.653106,331.653106,346.675997,346.675997,346.675997,405.706264,405.706264,405.706264,403.844724,403.844724,403.844724,427.66825,427.66825,427.66825
5000,10.964310000000092,10.964310000000092,10.964310000000092,10.975943000000001,10.975943000000001,10.975943000000001,10.970252,10.970252,10.970252,8.113662000000065,8.113662000000065,8.113662000000065,8.113350999999971,8.113350999999971,8.113350999999971,8.104272,8.104272,8.104272,8.318246000000052,8.318246000000052,8.318246000000052,8.322708,8.322708,8.322708,8.323239999999997,8.323239999999997,8.323239999999997,43.38664600000027,43.38664600000027,43.38664600000027,37.431569000000096,37.431569000000096,37.431569000000096,42.439588000000086,42.439588000000086,42.439588000000086,43.260550000000094,43.260550000000094,43.260550000000094,48.238400999999755,48.238400999999755,48.238400999999755,49.975031999999175,49.975031999999175,49.975031999999175
500,4.487333000000037,4.487333000000037,4.487333000000037,4.491016000000042,4.491016000000042,4.491016000000042,4.493248000000005,4.493248000000005,4.493248000000005,3.456378999999966,3.456378999999966,3.456378999999966,3.453701999999942,3.453701999999942,3.453701999999942,3.4552779999999697,3.4552779999999697,3.4552779999999697,2.973600000000032,2.973600000000032,2.973600000000032,2.971611000000007,2.971611000000007,2.971611000000007,2.9747099999999738,2.9747099999999738,2.9747099999999738,10.554756000000063,10.554756000000063,10.554756000000063,9.424687999999934,9.424687999999934,9.424687999999934,13.984559999999421,13.984559999999421,13.984559999999421,10.586480000000154,10.586480000000154,10.586480000000154,9.535492000000287,9.535492000000287,9.535492000000287,16.115343000000337,16.115343000000337,16.115343000000337
