"Step","earthy-armadillo-26 - kan_train_loss","earthy-armadillo-26 - kan_train_loss__MIN","earthy-armadillo-26 - kan_train_loss__MAX"
"0","5.163989067077637","5.163989067077637","5.163989067077637"
"1","5.039615631103516","5.039615631103516","5.039615631103516"
"2","4.9141459465026855","4.9141459465026855","4.9141459465026855"
"3","4.785256862640381","4.785256862640381","4.785256862640381"
"4","4.652068614959717","4.652068614959717","4.652068614959717"
"5","4.514446258544922","4.514446258544922","4.514446258544922"
"6","4.372435569763184","4.372435569763184","4.372435569763184"
"7","4.22613525390625","4.22613525390625","4.22613525390625"
"8","4.07567024230957","4.07567024230957","4.07567024230957"
"9","3.9212379455566406","3.9212379455566406","3.9212379455566406"
"10","3.763150453567505","3.763150453567505","3.763150453567505"
"11","3.601841449737549","3.601841449737549","3.601841449737549"
"12","3.4378623962402344","3.4378623962402344","3.4378623962402344"
"13","3.271879196166992","3.271879196166992","3.271879196166992"
"14","3.104679584503174","3.104679584503174","3.104679584503174"
"15","2.937188148498535","2.937188148498535","2.937188148498535"
"16","2.7704851627349854","2.7704851627349854","2.7704851627349854"
"17","2.6058261394500732","2.6058261394500732","2.6058261394500732"
"18","2.4446372985839844","2.4446372985839844","2.4446372985839844"
"19","2.2884793281555176","2.2884793281555176","2.2884793281555176"
"20","2.138979196548462","2.138979196548462","2.138979196548462"
"21","1.9977507591247559","1.9977507591247559","1.9977507591247559"
"22","1.8663159608840942","1.8663159608840942","1.8663159608840942"
"23","1.7460145950317383","1.7460145950317383","1.7460145950317383"
"24","1.6379024982452393","1.6379024982452393","1.6379024982452393"
"25","1.5426414012908936","1.5426414012908936","1.5426414012908936"
"26","1.460404872894287","1.460404872894287","1.460404872894287"
"27","1.3908112049102783","1.3908112049102783","1.3908112049102783"
"28","1.332901120185852","1.332901120185852","1.332901120185852"
"29","1.2851649522781372","1.2851649522781372","1.2851649522781372"
"30","1.2456378936767578","1.2456378936767578","1.2456378936767578"
"31","1.212050199508667","1.212050199508667","1.212050199508667"
"32","1.1820294857025146","1.1820294857025146","1.1820294857025146"
"33","1.1533256769180298","1.1533256769180298","1.1533256769180298"
"34","1.124047875404358","1.124047875404358","1.124047875404358"
"35","1.092852234840393","1.092852234840393","1.092852234840393"
"36","1.0590412616729736","1.0590412616729736","1.0590412616729736"
"37","1.0225580930709839","1.0225580930709839","1.0225580930709839"
"38","0.9838816523551941","0.9838816523551941","0.9838816523551941"
"39","0.9438638687133789","0.9438638687133789","0.9438638687133789"
"40","0.9035470485687256","0.9035470485687256","0.9035470485687256"
"41","0.8639942407608032","0.8639942407608032","0.8639942407608032"
"42","0.826159656047821","0.826159656047821","0.826159656047821"
"43","0.7908106446266174","0.7908106446266174","0.7908106446266174"
"44","0.7584805488586426","0.7584805488586426","0.7584805488586426"
"45","0.7294526100158691","0.7294526100158691","0.7294526100158691"
"46","0.7037699818611145","0.7037699818611145","0.7037699818611145"
"47","0.681264340877533","0.681264340877533","0.681264340877533"
"48","0.6615981459617615","0.6615981459617615","0.6615981459617615"
"49","0.64430832862854","0.64430832862854","0.64430832862854"
"50","0.6288512945175171","0.6288512945175171","0.6288512945175171"
"51","0.6146425008773804","0.6146425008773804","0.6146425008773804"
"52","0.6010900735855103","0.6010900735855103","0.6010900735855103"
"53","0.5876303911209106","0.5876303911209106","0.5876303911209106"
"54","0.5737741589546204","0.5737741589546204","0.5737741589546204"
"55","0.559146523475647","0.559146523475647","0.559146523475647"
"56","0.543501079082489","0.543501079082489","0.543501079082489"
"57","0.5267199873924255","0.5267199873924255","0.5267199873924255"
"58","0.5088024139404297","0.5088024139404297","0.5088024139404297"
"59","0.4898439943790436","0.4898439943790436","0.4898439943790436"
"60","0.47000977396965027","0.47000977396965027","0.47000977396965027"
"61","0.4495067894458771","0.4495067894458771","0.4495067894458771"
"62","0.4285569190979004","0.4285569190979004","0.4285569190979004"
"63","0.4073745012283325","0.4073745012283325","0.4073745012283325"
"64","0.38615256547927856","0.38615256547927856","0.38615256547927856"
"65","0.3650554120540619","0.3650554120540619","0.3650554120540619"
"66","0.3442179560661316","0.3442179560661316","0.3442179560661316"
"67","0.3237534165382385","0.3237534165382385","0.3237534165382385"
"68","0.30376553535461426","0.30376553535461426","0.30376553535461426"
"69","0.28435996174812317","0.28435996174812317","0.28435996174812317"
"70","0.2656518518924713","0.2656518518924713","0.2656518518924713"
"71","0.24776610732078552","0.24776610732078552","0.24776610732078552"
"72","0.23082666099071503","0.23082666099071503","0.23082666099071503"
"73","0.21493351459503174","0.21493351459503174","0.21493351459503174"
"74","0.20013882219791412","0.20013882219791412","0.20013882219791412"
"75","0.18643718957901","0.18643718957901","0.18643718957901"
"76","0.173769012093544","0.173769012093544","0.173769012093544"
"77","0.16203626990318298","0.16203626990318298","0.16203626990318298"
"78","0.15112608671188354","0.15112608671188354","0.15112608671188354"
"79","0.14093276858329773","0.14093276858329773","0.14093276858329773"
"80","0.13137070834636688","0.13137070834636688","0.13137070834636688"
"81","0.12237846851348877","0.12237846851348877","0.12237846851348877"
"82","0.11391661316156387","0.11391661316156387","0.11391661316156387"
"83","0.10596168041229248","0.10596168041229248","0.10596168041229248"
"84","0.0984993502497673","0.0984993502497673","0.0984993502497673"
