"Step","earthy-armadillo-26 - kan_train_loss","earthy-armadillo-26 - kan_train_loss__MIN","earthy-armadillo-26 - kan_train_loss__MAX"
"85","0.0915180966258049","0.0915180966258049","0.0915180966258049"
"86","0.08500489592552185","0.08500489592552185","0.08500489592552185"
"87","0.07894345372915268","0.07894345372915268","0.07894345372915268"
"88","0.07331503182649612","0.07331503182649612","0.07331503182649612"
"89","0.06810043007135391","0.06810043007135391","0.06810043007135391"
"90","0.06328219920396805","0.06328219920396805","0.06328219920396805"
"91","0.058845967054367065","0.058845967054367065","0.058845967054367065"
"92","0.05478003993630409","0.05478003993630409","0.05478003993630409"
"93","0.051073212176561356","0.051073212176561356","0.051073212176561356"
"94","0.04771174490451813","0.04771174490451813","0.04771174490451813"
"95","0.04467688500881195","0.04467688500881195","0.04467688500881195"
"96","0.04194370657205582","0.04194370657205582","0.04194370657205582"
"97","0.039482031017541885","0.039482031017541885","0.039482031017541885"
"98","0.03725888207554817","0.03725888207554817","0.03725888207554817"
"99","0.035241689532995224","0.035241689532995224","0.035241689532995224"
