"Step","earthy-armadillo-26 - mlp_train_loss","earthy-armadillo-26 - mlp_train_loss__MIN","earthy-armadillo-26 - mlp_train_loss__MAX"
"0","4.999998092651367","4.999998092651367","4.999998092651367"
"1","4.530787467956543","4.530787467956543","4.530787467956543"
"2","4.0905256271362305","4.0905256271362305","4.0905256271362305"
"3","3.6791069507598877","3.6791069507598877","3.6791069507598877"
"4","3.297057867050171","3.297057867050171","3.297057867050171"
"5","2.9450743198394775","2.9450743198394775","2.9450743198394775"
"6","2.623950719833374","2.623950719833374","2.623950719833374"
"7","2.334467887878418","2.334467887878418","2.334467887878418"
"8","2.0775234699249268","2.0775234699249268","2.0775234699249268"
"9","1.854163646697998","1.854163646697998","1.854163646697998"
"10","1.6654260158538818","1.6654260158538818","1.6654260158538818"
"11","1.511904239654541","1.511904239654541","1.511904239654541"
"12","1.3934383392333984","1.3934383392333984","1.3934383392333984"
"13","1.308648705482483","1.308648705482483","1.308648705482483"
"14","1.2544554471969604","1.2544554471969604","1.2544554471969604"
"15","1.2259124517440796","1.2259124517440796","1.2259124517440796"
"16","1.2165632247924805","1.2165632247924805","1.2165632247924805"
"17","1.2191321849822998","1.2191321849822998","1.2191321849822998"
"18","1.226475477218628","1.226475477218628","1.226475477218628"
"19","1.232493281364441","1.232493281364441","1.232493281364441"
"20","1.232802152633667","1.232802152633667","1.232802152633667"
"21","1.2248930931091309","1.2248930931091309","1.2248930931091309"
"22","1.2080901861190796","1.2080901861190796","1.2080901861190796"
"23","1.183297872543335","1.183297872543335","1.183297872543335"
"24","1.1524314880371094","1.1524314880371094","1.1524314880371094"
"25","1.1179596185684204","1.1179596185684204","1.1179596185684204"
"26","1.082460641860962","1.082460641860962","1.082460641860962"
"27","1.0482423305511475","1.0482423305511475","1.0482423305511475"
"28","1.017136573791504","1.017136573791504","1.017136573791504"
"29","0.9903728365898132","0.9903728365898132","0.9903728365898132"
"30","0.9685084819793701","0.9685084819793701","0.9685084819793701"
"31","0.9515526294708252","0.9515526294708252","0.9515526294708252"
"32","0.9390519261360168","0.9390519261360168","0.9390519261360168"
"33","0.9302037358283997","0.9302037358283997","0.9302037358283997"
"34","0.9240120053291321","0.9240120053291321","0.9240120053291321"
"35","0.91943359375","0.91943359375","0.91943359375"
"36","0.9154790043830872","0.9154790043830872","0.9154790043830872"
"37","0.9113258719444275","0.9113258719444275","0.9113258719444275"
"38","0.906384289264679","0.906384289264679","0.906384289264679"
"39","0.9003265500068665","0.9003265500068665","0.9003265500068665"
"40","0.8930754065513611","0.8930754065513611","0.8930754065513611"
"41","0.8847742080688477","0.8847742080688477","0.8847742080688477"
"42","0.8757439255714417","0.8757439255714417","0.8757439255714417"
"43","0.866381049156189","0.866381049156189","0.866381049156189"
"44","0.8571330308914185","0.8571330308914185","0.8571330308914185"
"45","0.8483951091766357","0.8483951091766357","0.8483951091766357"
"46","0.840481162071228","0.840481162071228","0.840481162071228"
"47","0.8335607647895813","0.8335607647895813","0.8335607647895813"
"48","0.827649712562561","0.827649712562561","0.827649712562561"
"49","0.822624683380127","0.822624683380127","0.822624683380127"
"50","0.818245530128479","0.818245530128479","0.818245530128479"
"51","0.8142362236976624","0.8142362236976624","0.8142362236976624"
"52","0.8103176951408386","0.8103176951408386","0.8103176951408386"
"53","0.8062835931777954","0.8062835931777954","0.8062835931777954"
"54","0.8020215034484863","0.8020215034484863","0.8020215034484863"
"55","0.7975228428840637","0.7975228428840637","0.7975228428840637"
"56","0.7928789854049683","0.7928789854049683","0.7928789854049683"
"57","0.7882556915283203","0.7882556915283203","0.7882556915283203"
"58","0.7838128209114075","0.7838128209114075","0.7838128209114075"
"59","0.7796840667724609","0.7796840667724609","0.7796840667724609"
"60","0.7759851813316345","0.7759851813316345","0.7759851813316345"
"61","0.7727574706077576","0.7727574706077576","0.7727574706077576"
"62","0.7699734568595886","0.7699734568595886","0.7699734568595886"
"63","0.7675629258155823","0.7675629258155823","0.7675629258155823"
"64","0.7654142379760742","0.7654142379760742","0.7654142379760742"
"65","0.7634189128875732","0.7634189128875732","0.7634189128875732"
"66","0.761483907699585","0.761483907699585","0.761483907699585"
"67","0.7595327496528625","0.7595327496528625","0.7595327496528625"
"68","0.7575293183326721","0.7575293183326721","0.7575293183326721"
"69","0.7554773688316345","0.7554773688316345","0.7554773688316345"
"70","0.7534121870994568","0.7534121870994568","0.7534121870994568"
"71","0.7513709664344788","0.7513709664344788","0.7513709664344788"
"72","0.7494069337844849","0.7494069337844849","0.7494069337844849"
"73","0.7475599646568298","0.7475599646568298","0.7475599646568298"
"74","0.7458465695381165","0.7458465695381165","0.7458465695381165"
"75","0.7442644238471985","0.7442644238471985","0.7442644238471985"
"76","0.7427905797958374","0.7427905797958374","0.7427905797958374"
"77","0.7413899898529053","0.7413899898529053","0.7413899898529053"
"78","0.7400258779525757","0.7400258779525757","0.7400258779525757"
"79","0.7386647462844849","0.7386647462844849","0.7386647462844849"
"80","0.737284243106842","0.737284243106842","0.737284243106842"
"81","0.7358768582344055","0.7358768582344055","0.7358768582344055"
"82","0.7344509959220886","0.7344509959220886","0.7344509959220886"
"83","0.7330264449119568","0.7330264449119568","0.7330264449119568"
"84","0.7316250205039978","0.7316250205039978","0.7316250205039978"
"85","0.730262279510498","0.730262279510498","0.730262279510498"
"86","0.7289480566978455","0.7289480566978455","0.7289480566978455"
"87","0.727682888507843","0.727682888507843","0.727682888507843"
"88","0.7264525294303894","0.7264525294303894","0.7264525294303894"
"89","0.7252393960952759","0.7252393960952759","0.7252393960952759"
"90","0.724033772945404","0.724033772945404","0.724033772945404"
"91","0.7228180170059204","0.7228180170059204","0.7228180170059204"
"92","0.7215794324874878","0.7215794324874878","0.7215794324874878"
"93","0.720321774482727","0.720321774482727","0.720321774482727"
"94","0.7190534472465515","0.7190534472465515","0.7190534472465515"
"95","0.717781126499176","0.717781126499176","0.717781126499176"
"96","0.7165117263793945","0.7165117263793945","0.7165117263793945"
"97","0.715251088142395","0.715251088142395","0.715251088142395"
"98","0.7140020728111267","0.7140020728111267","0.7140020728111267"
"99","0.7127648591995239","0.7127648591995239","0.7127648591995239"
